timestamp_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C,rpm
2908,0.482178,0.421753,0.838501,5.24,7.43,-3.83,39.31,3956.0
2912,-0.298096,0.390259,0.979492,-11.65,9.73,8.47,39.31,3956.0
2916,-0.449097,-0.410156,1.379761,-8.18,-6.63,4.32,39.31,3956.0
2920,0.547974,-0.387573,1.141724,9.15,-10.88,-6.88,39.31,3956.0
2924,0.397339,-0.519409,1.225342,6.87,-14.24,-3.26,39.31,3956.0
2928,0.532959,0.259033,0.855713,8.02,4.72,-6.56,39.31,3956.0
2932,-0.178711,0.509644,0.922974,-9.72,11.33,3.58,39.31,3956.0
2936,-0.489868,-0.208374,1.370972,-10.76,-2.25,9.85,39.31,3956.0
2940,0.415771,-0.501587,1.211792,7.49,-14.26,-3.85,39.31,3956.0
2944,0.164917,-0.559692,1.307983,3.34,-15.42,-1.37,39.31,3956.0
2948,0.538208,0.056519,0.883545,9.98,1.56,-8.76,39.31,3956.0
2952,-0.025635,0.512207,0.816772,-6.37,12.23,0.21,39.31,3956.0
2956,-0.484497,-0.058472,1.280762,-12.14,1.66,13.21,39.31,3956.0
2960,0.19397,-0.55481,1.302979,4.0,-15.51,-1.74,39.31,3956.0
2964,-0.062256,-0.556152,1.352051,0.08,-14.14,0.12,39.31,3956.0
2968,0.586426,-0.105225,0.972778,10.46,-2.02,-9.63,39.31,3956.0
2972,-0.152466,-0.538818,1.354858,-1.95,-12.69,0.37,39.31,3956.0
