index,time,mse,is_anomaly
0,0,94.36249784257144,True
1,4,0.03544859783909557,False
2,8,0.035673751452747225,False
3,12,0.06750444220067658,False
4,16,0.09863849524542645,False
5,20,0.028790313701866403,False
6,24,0.06154603088059339,False
7,28,0.0317209503433227,False
8,32,0.09281377471371265,False
9,36,0.10202084846642273,False
10,40,0.021914727110749665,False
11,44,0.1125746347300146,False
12,48,0.050607941940993544,False
13,52,0.10673319580875411,False
14,56,0.06767368329998769,False
15,60,0.04566242000477989,False
16,64,0.12556310544137755,False
17,68,0.051405129822144145,False
18,72,0.07280582696683047,False
19,76,0.048169273229981734,False
20,80,0.07540510502925549,False
21,84,0.07815619142475866,False
22,88,0.04878818993021667,False
23,92,0.047174041150102985,False
24,96,0.033481059533946624,False
25,100,0.10443902932640563,False
26,104,0.0211821320870446,False
27,108,0.08721653699564777,False
28,112,0.036255243317427494,False
29,116,0.06045394411777974,False
30,120,0.08944371633995188,False
31,124,0.030711493276330732,False
32,128,0.13734516227068638,False
33,132,0.0638571476251265,False
34,136,0.04488175890781945,False
35,140,0.063986703460405,False
36,144,0.050047094697109745,False
37,148,0.12032356187024115,False
38,152,0.03889717693753471,False
39,156,0.08069482593215477,False
40,160,0.03473717446584292,False
41,164,0.10130319584459761,False
42,168,0.05990591640816271,False
43,172,0.07612625246961086,False
44,176,0.10089276665764163,False
45,180,0.04511101831961587,False
46,184,0.026978811997744073,False
47,188,0.12376518803242383,False
48,192,0.050344615383052654,False
49,196,0.07030764455977577,False
50,200,0.04263927922067126,False
51,204,0.057763660789424756,False
52,208,0.10049680294724322,False
53,212,0.036433323716631855,False
54,216,0.036673573108926154,False
55,220,0.027172991805050783,False
56,224,0.073758511101469,False
57,228,0.03196108495666636,False
58,232,0.03668020262681611,False
59,236,0.03068343722214501,False
60,240,0.043024641297062786,False
61,244,0.10104685022169936,False
62,248,0.019924629248868626,False
63,252,0.09117733126310562,False
64,256,0.0425644381686067,False
65,260,0.05050974461271157,False
66,264,0.06438222715855207,False
67,268,0.035826707173496466,False
68,272,0.12302992753003382,False
69,276,0.04354930003987477,False
70,280,0.06576028760537377,False
71,284,0.05328129559869144,False
72,288,0.027185339885257516,False
73,292,0.04720117376384992,False
74,296,0.06016142336469673,False
75,300,0.0747417514983707,False
76,304,0.030468601146326824,False
77,308,0.10466714342288717,False
78,312,0.01606052405561242,False
79,316,0.07340167780671814,False
80,320,0.02882412427611895,False
81,324,0.08561315143734374,False
82,328,0.0221967486901801,False
83,332,0.07218115954576954,False
84,336,0.0727681626970444,False
85,340,0.022636534259865653,False
86,344,0.12485993178209008,False
87,348,0.04645853793823935,False
88,352,0.08381205345184464,False
89,356,0.031407729012172016,False
90,360,0.11965938104812107,False
91,364,0.052820202877916084,False
92,368,0.050278672679891216,False
93,372,0.12362229975906917,False
94,376,0.037794865422327184,False
95,380,0.07227912589508413,False
96,384,0.05129452483693709,False
97,388,0.14795983231896848,False
98,392,0.03283793062377462,False
99,396,0.0755221370485604,False
100,400,0.0649542145281798,False
101,404,0.04220876121260144,False
102,408,0.03353769588391575,False
103,412,0.07289474630783246,False
104,416,0.037136564936855535,False
105,420,0.043329230684427796,False
106,424,0.0847783424323309,False
107,428,0.018565666900201172,False
108,432,0.07995766177443296,False
109,436,0.046633163660636905,False
110,440,0.10032044607914943,False
111,444,0.020388182810790047,False
112,448,0.03827737301074323,False
113,452,0.06943771193166991,False
114,456,0.0486662543484167,False
115,460,0.15158350575371626,False
116,464,0.04604142092630967,False
117,468,0.06719863453204553,False
118,472,0.029714288886278528,False
119,476,0.046262720937397854,False
120,480,0.038306636311224836,False
121,484,0.05599325085499983,False
122,488,0.10094334506392735,False
123,492,0.04826913010685639,False
124,496,0.030172660485735185,False
125,500,0.06419037649040106,False
126,504,0.08945349982954848,False
127,508,0.03105591201052288,False
128,512,0.08494398896901786,False
129,516,0.020816469840804555,False
130,520,0.06974142977564919,False
131,524,0.02904950813062915,False
132,528,0.08594332038282176,False
133,532,0.12473235988565763,False
134,536,0.04895968344130184,False
135,540,0.072148523071499,False
136,544,0.01924001250560661,False
137,548,0.11691831417701187,False
138,552,0.04101676113000729,False
139,556,0.06727599806217421,False
140,560,0.10805586997504389,False
141,564,0.03290519721098927,False
142,568,0.04164156251895431,False
143,572,0.03740720819384165,False
144,576,0.10033354042141207,False
145,580,0.031965610655606685,False
146,584,0.03320383268754766,False
147,588,0.02153199531516362,False
148,592,0.10685122207821068,False
149,596,0.03357616968547359,False
150,600,0.14322867233894604,False
151,604,0.04761561453016283,False
152,608,0.06538440984390949,False
153,612,0.06784104357982781,False
154,616,0.028515363208247595,False
155,620,0.12289415766962171,False
156,624,0.0537217138976174,False
157,628,0.025074134166227953,False
158,632,0.04669286951066947,False
159,636,0.06132996092100883,False
160,640,0.10060888266493663,False
161,644,0.06815390045837308,False
